
Date,Scan_Num,Magnet_Temp(K),Field_SetPoint(T),VTI_Temp(K),NV_Pressure(mB),SampleTemp_SetPt(K),Avg_Sample_Temp(K),StdDev_Sample_Temp(K),Num_Temp_Checks,Avg_Magnet_Field(T),StdDev_Magnet_Field(T),File
2023-01-30 13:56:22.365392,1,3.574,7.00000,1.9459,4.8560,2.0000,2.07612,0.000921737489744249,5,7.0,0.0,None
2023-01-30 15:33:40.247479,2,3.558,-7.00000,1.9346,4.8431,2.0000,2.0639999999999996,0.0005656854249492543,5,-7.0,0.0,None
2023-01-30 16:00:23.601363,3,3.564,-3.50000,1.9337,4.8570,2.0000,2.0139000000000005,0.00035213633723319186,5,-3.50002,4.0000000000084415e-05,None
2023-01-30 16:27:20.588982,4,3.606,0.00000,1.9880,4.9899,2.0000,2.0084,0.0022529980026621994,5,0.0,0.0,None
2023-01-30 16:54:35.258486,5,3.548,3.50000,1.9262,4.9291,2.0000,2.0067999999999997,0.0005215361924161545,5,3.5,0.0,None
2023-01-30 19:55:22.049300,1,3.543,7.00000,1.9206,5.0277,2.0000,2.04604,0.0024009164916755916,10,7.0,0.0,None
2023-01-30 20:05:36.172485,2,3.536,6.30000,1.9177,5.0218,2.0000,2.0353399999999997,0.0011680753400359297,10,6.299999999999999,8.881784197001252e-16,None
2023-01-30 20:15:21.813728,3,3.540,5.60000,1.9131,5.0389,2.0000,2.02541,0.00184577896834914,10,5.6,0.0,None
2023-01-30 20:25:29.932399,4,3.534,4.90000,1.9166,5.0195,2.0000,2.0173799999999997,0.0019140532907941524,10,4.9,0.0,None
2023-01-30 20:35:34.766844,5,3.533,4.20000,1.9136,5.0088,2.0000,2.00551,0.0019143928541445938,10,4.200000000000001,8.881784197001252e-16,None
2023-01-30 20:45:17.456496,6,3.534,3.50000,1.9159,5.0319,2.0000,1.9945499999999998,0.0016329421300217888,10,3.5,0.0,None
2023-01-30 20:55:38.162522,7,3.527,2.80000,1.9263,4.9879,2.0000,1.98871,0.002831059872203357,10,2.8,0.0,None
2023-01-30 21:05:41.099019,8,3.527,2.10000,1.9488,4.9623,2.0000,1.99312,0.004696338999689038,10,2.1000000000000005,4.440892098500626e-16,None
2023-01-30 21:15:45.778461,9,3.527,1.40000,1.9689,4.9766,2.0000,1.99956,0.0034299271129282364,10,1.4,0.0,None
2023-01-30 21:25:53.950130,10,3.529,0.70000,1.9781,4.9722,2.0000,1.9974800000000001,0.003967316473386017,10,0.7,0.0,None
2023-01-30 21:35:59.286539,11,3.542,0.00000,1.9802,5.0138,2.0000,1.9980199999999997,0.004308781730373436,10,0.0,0.0,None
2023-01-30 21:45:41.101419,12,3.547,-0.70000,1.9813,5.0415,2.0000,2.00171,0.005178503644876575,10,-0.7,0.0,None
2023-01-30 21:55:41.309604,13,3.520,-1.40000,1.9713,4.8242,2.0000,2.00847,0.00024919871588758696,10,-1.4,0.0,None
2023-01-30 22:05:59.403517,14,3.512,-2.10000,1.9505,4.8228,2.0000,2.0002299999999997,0.0002451530134426055,10,-2.1000000000000005,4.440892098500626e-16,None
2023-01-30 22:16:05.007498,15,3.513,-2.80000,1.9384,4.8264,2.0000,2.00372,0.0005173006862551331,10,-2.8,0.0,None
2023-01-30 22:26:09.377575,16,3.512,-3.50000,1.9249,4.8502,2.0000,2.00556,0.0007144228439796398,10,-3.5,0.0,None
2023-01-30 22:35:51.969508,17,3.517,-4.20000,1.9205,4.8275,2.0000,2.01068,0.0012544321424453073,10,-4.200000000000001,8.881784197001252e-16,None
2023-01-30 22:46:04.895524,18,3.515,-4.90000,1.9182,4.7998,2.0000,2.0208,0.0016024980499207973,10,-4.9,0.0,None
2023-01-30 22:56:06.045531,19,3.518,-5.60000,1.9198,4.8244,2.0000,2.03044,0.0014705101155720822,10,-5.6,0.0,None
2023-01-30 23:06:15.609516,20,3.522,-6.30000,1.9186,4.8187,2.0000,2.0384,0.0014429137188342218,10,-6.299999999999999,8.881784197001252e-16,None
2023-01-30 23:16:29.503516,21,3.527,-7.00000,1.9200,4.8364,2.0000,2.04548,0.0014736349615831119,10,-7.0,0.0,None
2023-01-30 23:28:18.458513,22,3.507,-7.00000,2.8886,4.7537,3.0000,3.33027,0.008993447614791521,10,-7.0,0.0,None
2023-01-30 23:38:36.366684,23,3.531,-6.30000,2.8934,4.8591,3.0000,3.32117,0.009561176705824438,10,-6.299999999999999,8.881784197001252e-16,None
2023-01-30 23:48:45.504500,24,3.536,-5.60000,2.8975,4.9758,3.0000,3.3219399999999992,0.007851012673534509,10,-5.6,0.0,None
