
Date,Magnet_Temp(K),Magnet_Field(T),Field_SetPoint(T),Sample_Temp(K),VTI_Temp(K),PT2_Temp(K),NV_Pressure(mB),NV_Percent,SampleTemp_SetPt(K)
2022-12-12 16:48:45.612579,3.319,0.0000,0.00000,1.1986,1.8591,3.3589,5.6045,15.8495%,75.0000
2022-12-12 16:49:56.115415,3.320,0.0000,0.00000,33.3346,65.4903,3.3538,4.7131,16.2417%,75.0000
2022-12-12 18:32:48.758651,3.343,-0.0000,0.00000,1.1986,74.2527,3.3830,4.9606,14.8714%,1.7000
2022-12-12 20:33:30.889731,3.324,-0.0000,0.00000,1.1986,10.2324,3.3602,4.8831,14.5083%,1.7000
2022-12-12 22:34:10.122856,3.313,-0.0000,0.00000,1.1986,2.6264,3.3536,4.9816,14.8882%,1.7000
2022-12-13 00:34:50.270401,3.325,-0.0000,0.00000,1.1986,2.6429,3.3671,5.0809,15.3201%,1.7000
2022-12-13 02:35:31.630834,3.323,-0.0000,0.00000,1.1986,2.6080,3.3663,5.0660,14.5647%,1.7000
2022-12-13 04:36:10.896501,3.318,-0.0000,0.00000,1.1986,2.6309,3.3598,4.9468,14.4335%,1.7000
2022-12-13 06:36:52.563158,3.321,-0.0000,0.00000,1.1986,2.6243,3.3610,5.0989,14.4259%,1.7000
2022-12-13 08:37:36.466922,3.324,-0.0000,0.00000,1.1986,2.6056,3.3660,4.9201,14.4381%,1.7000
2022-12-13 10:38:18.910064,3.323,0.0000,0.00000,1.1986,2.6169,3.3608,4.9609,14.8486%,1.7000
2022-12-14 16:23:02.109975,253.810,0.0000,0.00000,1.1986,262.7897,257.5210,326.1677,100.0000%,1.7000
2022-12-14 18:23:32.755441,259.549,0.0000,0.00000,1.1986,267.2417,262.8219,326.5770,100.0000%,1.7000
2022-12-14 20:24:02.858710,264.686,0.0000,0.00000,1.1986,271.1211,267.4343,326.9979,100.0000%,1.7000
2022-12-14 22:24:35.687964,268.962,0.0000,0.00000,1.1986,274.5691,271.3945,327.3636,100.0000%,1.7000
2022-12-15 00:25:06.313374,272.783,-0.0000,0.00000,1.1986,277.4874,274.8674,327.6657,100.0000%,1.7000
2022-12-15 02:25:38.671989,276.041,-0.0000,0.00000,1.1986,279.9502,277.8014,327.8786,100.0000%,1.7000
2022-12-15 04:26:10.561247,278.778,0.0000,0.00000,1.1986,282.2043,280.3077,328.1002,100.0000%,1.7000
2022-12-15 06:26:43.151989,281.188,0.0000,0.00000,1.1986,284.1125,282.5618,328.3202,100.0000%,1.7000
2022-12-15 08:27:14.636616,283.308,0.0000,0.00000,1.1986,285.7611,284.4795,328.4291,100.0000%,1.7000
2022-12-15 10:27:46.987993,285.112,0.0000,0.00000,1.1986,287.1358,286.0937,328.5756,100.0000%,1.7000
2022-12-15 10:48:07.508426,285.337,0.0000,0.00000,1.1986,287.3608,286.3507,328.6029,100.0000%,1.7000
2022-12-15 12:48:37.689380,286.855,0.0000,0.00000,1.1986,288.4885,287.7476,328.7110,100.0000%,1.7000
2022-12-15 14:49:09.652006,288.161,0.0000,0.00000,1.1986,289.5911,288.8808,328.7539,100.0000%,1.7000
2022-12-15 16:49:41.893289,289.201,-0.0000,0.00000,1.1986,290.4630,289.8519,328.7630,100.0000%,1.7000
2022-12-15 18:50:12.793186,290.139,0.0000,0.00000,1.1986,291.2242,290.7161,328.8031,100.0000%,1.7000
2022-12-15 20:50:45.358361,290.947,-0.0000,0.00000,1.1986,291.8794,291.4462,328.7996,100.0000%,1.7000
2022-12-15 22:51:16.630809,291.646,0.0000,0.00000,1.1986,292.4320,292.0713,328.9726,100.0000%,1.7000
2022-12-16 00:51:49.104677,292.229,0.0000,0.00000,1.1986,292.9187,292.6308,329.0095,100.0000%,1.7000
2022-12-16 02:52:23.114574,292.772,-0.0000,0.00000,1.1986,293.3451,293.0975,328.9954,100.0000%,1.7000
2022-12-16 04:52:56.522264,293.200,0.0000,0.00000,1.1986,293.6909,293.4902,328.9521,100.0000%,1.7000
2022-12-16 06:53:30.804550,293.583,0.0000,0.00000,1.1986,293.9873,293.8255,328.8804,100.0000%,1.7000
2022-12-16 08:54:03.867775,293.886,0.0000,0.00000,1.1986,294.2288,294.1085,328.9301,100.0000%,1.7000
